INFO	 2014-03-21.18:44:53	 Running testApp::setup()
INFO	 2014-03-21.18:47:51	 Running testApp::setup()
 	 2014-03-21.18:47:51	 after the previous line
2014-03-21.18:58:41	  	 in testApp::setup()
2014-03-21.18:59:34	  	 in testApp::setup()
2014-03-22.17:55:57	  	 in testApp::setup()
2014-03-22.17:56:06	  	 in testApp::setup()
2014-03-22.17:56:24	  	 in testApp::setup()
2014-03-22.17:59:32	  	 in testApp::setup()
2014-03-22.18:02:47	  	 in testApp::setup()
2014-03-22.18:03:07	  	 in testApp::setup()
2014-03-22.18:15:53	  	 in testApp::setup()
2014-03-22.18:16:33	  	 in testApp::setup()
2014-03-22.18:18:06	  	 in testApp::setup()
2014-03-22.18:18:48	  	 in testApp::setup()
2014-03-22.18:19:36	  	 in testApp::setup()
2014-03-22.18:20:10	  	 in testApp::setup()
2014-03-22.18:20:26	  	 in testApp::setup()
2014-03-22.18:21:21	  	 in testApp::setup()
2014-03-22.18:21:37	  	 in testApp::setup()
2014-03-22.18:21:50	  	 in testApp::setup()
2014-03-22.18:23:58	  	 in testApp::setup()
2014-03-22.18:24:50	  	 in testApp::setup()
2014-03-22.18:25:21	  	 in testApp::setup()
2014-03-22.18:27:26	  	 in testApp::setup()
2014-03-22.18:28:04	  	 in testApp::setup()
2014-03-22.18:29:17	  	 in testApp::setup()
2014-03-23.16:06:02	  	 in testApp::setup()
2014-03-23.16:06:31	  	 in testApp::setup()
2014-03-23.16:07:56	  	 in testApp::setup()
2014-03-23.16:20:42	  	 in testApp::setup()
2014-03-23.16:22:04	  	 in testApp::setup()
2014-03-23.16:22:46	  	 in testApp::setup()
2014-03-23.16:25:44	  	 in testApp::setup()
2014-03-23.16:26:08	  	 in testApp::setup()
2014-03-23.16:46:09	  	 in testApp::setup()
2014-03-23.16:47:07	  	 in testApp::setup()
2014-03-23.16:47:46	  	 in testApp::setup()
2014-03-23.16:50:10	  	 in testApp::setup()
2014-03-23.16:50:43	  	 in testApp::setup()
2014-03-23.16:52:04	  	 in testApp::setup()
2014-03-23.16:52:49	  	 in testApp::setup()
2014-03-23.16:53:31	  	 in testApp::setup()
2014-03-23.16:56:57	  	 in testApp::setup()
2014-03-23.16:57:19	  	 in testApp::setup()
2014-03-23.16:57:53	  	 in testApp::setup()
2014-03-23.16:58:47	  	 in testApp::setup()
2014-03-23.17:31:03	  	 in testApp::setup()
2014-03-23.20:54:27	  	 in testApp::setup()
2014-03-23.20:55:14	  	 in testApp::setup()
2014-03-23.20:55:57	  	 in testApp::setup()
2014-03-23.20:56:47	  	 in testApp::setup()
2014-03-23.20:58:38	  	 in testApp::setup()
2014-03-23.21:00:20	  	 in testApp::setup()
2014-03-23.21:01:18	  	 in testApp::setup()
2014-03-23.21:02:23	  	 in testApp::setup()
2014-03-23.21:02:44	  	 in testApp::setup()
2014-03-23.21:03:03	  	 in testApp::setup()
2014-03-23.21:03:30	  	 in testApp::setup()
2014-03-23.21:08:48	  	 in testApp::setup()
2014-03-23.21:09:52	  	 in testApp::setup()
2014-03-23.21:10:37	  	 in testApp::setup()
2014-03-23.21:11:37	  	 in testApp::setup()
2014-03-23.21:13:41	  	 in testApp::setup()
2014-03-23.21:14:49	  	 in testApp::setup()
2014-03-23.21:16:11	  	 in testApp::setup()
2014-03-23.21:20:38	  	 in testApp::setup()
2014-03-23.21:25:18	  	 in testApp::setup()
2014-03-23.21:26:14	  	 in testApp::setup()
2014-03-23.21:26:48	  	 in testApp::setup()
2014-03-23.21:28:58	  	 in testApp::setup()
2014-03-23.21:38:09	  	 in testApp::setup()
2014-03-23.21:39:13	  	 in testApp::setup()
2014-03-23.21:39:50	  	 in testApp::setup()
2014-03-24.14:30:17	  	 in testApp::setup()
2014-03-24.14:41:50	  	 in testApp::setup()
2014-03-24.14:42:01	  	 in testApp::setup()
2014-03-24.14:48:46	  	 in testApp::setup()
2014-03-24.14:51:36	  	 in testApp::setup()
2014-03-24.14:56:00	  	 in testApp::setup()
